"temp.max" "temp.avg" "temp.min" "dew.max" "dew.avg" "dew.min" "hum.max" "hum.avg" "hum.min" "press.max" "press.avg" "press.min" "wind.max" "wind.avg" "percip"
"1" 14 11 8 7 5 3 83 66 41 1024 1022 1021 14 6 0
"2" 19 12 6 12 8 6 100 75 41 1024 1022 1019 19 8 2.03
"3" 19 13 8 11 9 5 100 70 40 1020 1016 1014 21 6 0.51
"4" 21 14 9 11 8 6 93 66 34 1023 1018 1015 24 8 0.51
"5" 21 14 7 8 5 2 82 49 21 1025 1023 1021 26 16 0
"6" 21 15 9 9 4 3 76 44 19 1024 1021 1019 21 13 0
"7" 21 14 9 11 6 2 88 48 22 1022 1020 1019 35 14 0
"8" 23 17 10 11 9 6 94 62 22 1022 1021 1019 27 11 0
"9" 22 14 8 11 9 7 100 61 31 1023 1022 1021 26 10 0
"10" 23 17 10 10 8 6 94 54 22 1023 1020 1016 24 10 0
"11" 23 17 11 13 9 5 87 57 30 1016 1013 1010 14 8 0.25
"12" 24 17 10 12 10 8 94 59 28 1010 1006 1002 21 10 0
"13" 23 18 12 14 11 8 94 66 33 1002 998 995 26 13 0
"14" 16 14 11 13 12 9 94 84 74 1002 997 995 27 13 0.51
"15" 13 10 7 8 4 -1 93 63 29 1012 1008 1002 29 14 0
"16" 12 8 4 6 3 2 93 69 46 1014 1012 1011 21 11 0.25
"17" 12 8 4 6 4 2 93 74 41 1014 1012 1011 32 10 1.02
"18" 16 11 5 7 4 1 100 68 27 1014 1013 1012 23 6 0
"19" 18 11 4 7 4 1 100 58 20 1016 1014 1013 14 6 0
"20" 22 14 6 7 5 2 81 51 20 1016 1015 1014 18 6 0
"21" 23 17 12 11 9 7 82 57 30 1019 1017 1015 26 11 0
"22" 25 18 10 12 10 9 100 59 27 1019 1017 1015 14 5 0
"23" 27 21 14 13 11 10 82 52 25 1015 1012 1010 26 14 0
"24" 26 20 14 10 8 4 63 40 18 1011 1009 1007 24 16 0
"25" 23 18 13 13 10 6 94 57 32 1011 1009 1008 23 8 0.51
"26" 24 18 12 14 12 8 100 72 26 1017 1014 1011 18 10 0
"27" 26 19 12 17 13 11 100 73 34 1018 1017 1016 24 6 5.08
"28" 27 21 14 16 13 10 94 60 25 1018 1016 1014 21 13 0
"29" 28 21 15 15 13 10 82 52 25 1014 1012 1011 26 13 0
"30" 29 23 17 17 15 13 83 59 29 1011 1010 1008 35 18 0.51
"31" 24 20 16 19 17 15 94 78 55 1012 1010 1009 24 10 1.02
"32" 14 9 5 4 2 0 71 54 29 1023 1022 1020 24 14 0
"33" 12 8 4 5 3 1 87 64 46 1025 1023 1021 26 21 3.05
"34" 11 8 6 7 6 4 93 82 66 1025 1023 1021 21 14 0
"35" 17 13 9 13 10 7 100 85 62 1021 1017 1015 27 18 6.1
"36" 21 16 11 12 11 9 100 71 42 1019 1017 1016 14 8 0
"37" 24 19 14 14 11 8 94 65 32 1016 1012 1009 14 10 2.03
"38" 14 11 8 14 11 8 100 91 74 1009 1007 1006 21 10 7.11
"39" 10 7 4 8 5 -2 100 83 57 1013 1008 1006 34 18 0
"40" 8 4 0 1 -2 -6 93 64 25 1015 1013 1012 32 18 0
"41" 11 4 -2 4 -1 -5 100 66 22 1015 1011 1008 23 10 0.25
"42" 12 9 6 7 5 2 100 80 57 1010 1009 1007 18 8 0.51
"43" 18 11 4 11 8 4 100 72 51 1010 1008 1007 26 14 0
"44" 21 14 8 10 8 5 95 65 28 1016 1012 1010 23 11 0
"45" 22 14 8 12 8 6 94 58 26 1023 1020 1016 19 6 0
"46" 20 14 9 13 9 6 93 65 46 1027 1025 1023 18 8 0
"47" 21 17 12 16 8 5 94 59 31 1029 1028 1026 19 11 0
"48" 22 15 8 8 5 2 93 47 19 1029 1027 1023 11 6 0
"49" 24 17 11 8 6 4 82 45 18 1023 1020 1017 19 10 0
"50" 25 18 12 8 7 4 72 42 20 1017 1015 1013 24 14 0
"51" 27 19 12 16 8 6 82 46 16 1016 1014 1013 21 10 0
"52" 20 17 13 14 12 8 88 70 53 1020 1018 1016 32 19 0
"53" 22 16 9 11 9 6 87 58 33 1021 1019 1017 21 13 0
